"","Bat.species","Bat.family","Coronavirus.subgenus","Continent","Country","Reference"
"148","Micropteropus pusillus","Pteropodidae","Nobecovirus","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"149","Micropteropus pusillus","Pteropodidae","Nobecovirus","Africa","Gabon","Maganga 2014 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0100172"
"150","Micropteropus pusillus","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"151","Myonycteris angolensis","Pteropodidae","Duvinacovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"152","Myonycteris angolensis","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"153","Myonycteris angolensis","Pteropodidae","Nobecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"154","Myonycteris angolensis","Pteropodidae","Hibecovirus","Africa","Cameroon, Ghana, Guinea, Ivory Coast, Liberia, Republic of Congo, Rwanda, Sierra Leone, Uganda","PREDICT database http://data.predict.global/"
"155","Myonycteris torquata","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"156","Myonycteris torquata","Pteropodidae","Nobecovirus","Africa","Cameroon, DR Congo, Gabon, Republic of Congo","PREDICT database http://data.predict.global/"
"157","Nanonycteris veldkampii","Pteropodidae","Nobecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"158","Ptenochirus jagori","Pteropodidae","Nobecovirus","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"159","Ptenochirus jagori","Pteropodidae","Nobecovirus","Asia","Philippines","Watanabe 2010 EID https://dx.doi.org/10.3201%2Feid1608.100208"
"160","Pteropus alecto","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"161","Pteropus alecto","Pteropodidae","Nobecovirus","Asia","Indonesia","Febriani 2018 IJTVBR https://doi.org/10.21157/ijtvbr.v3i2.12359"
"162","Pteropus alecto","Pteropodidae","Nobecovirus","Asia, Oceania","Australia, Indonesia, Papua New Guinea","Smith 2016 EcoHealth https://doi.org/10.1007/s10393-016-1116-x"
"163","Pteropus conspicillatus","Pteropodidae","Nobecovirus","Asia","Indonesia","PREDICT database http://data.predict.global/"
"164","Pteropus giganteus","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"165","Pteropus lylei","Pteropodidae","Nobecovirus","Asia","Cambodia, Thailand, Vietnam","PREDICT database http://data.predict.global/"
"166","Pteropus lylei","Pteropodidae","Nobecovirus","Asia","Thailand","Wacharapluesadee 2018 Virology Journal https://doi.org/10.1186/s12985-018-0950-6"
"167","Pteropus medius","Pteropodidae","Nobecovirus","Asia","Bangladesh","Anthony 2013 mBio https://doi.org/10.1128/mBio.00598-13"
"168","Pteropus medius","Pteropodidae","Nobecovirus","Asia","Sri Lanka","Kudagammana 2018 TED https://doi.org/10.1111/tbed.12851"
"169","Pteropus medius","Pteropodidae","Nobecovirus","Asia","India","Yadav 2020 Indian Journal of Medical Research https://doi.org/https://doi.org/10.4103/ijmr.IJMR_795_20"
"170","Pteropus rufus","Pteropodidae","Nobecovirus","Africa","Madagascar","Razanajatovo 2015 Virology J https://doi.org/10.1186/s12985-015-0271-y"
"171","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"172","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"173","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8"
"174","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"175","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"176","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Asia, Africa","Lebanon, Egypt","Shehata 2016 EID https://dx.doi.org/10.3201%2Feid2201.151397"
"177","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"178","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"179","Rousettus aegyptiacus","Pteropodidae","Nobecovirus","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2"
"180","Rousettus amplexicaudatus","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"181","Rousettus amplexicaudatus","Pteropodidae","Nobecovirus","Asia","Indonesia","Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70"
"182","Rousettus amplexicaudatus","Pteropodidae","Nobecovirus","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029"
"183","Rousettus amplexicaudatus","Pteropodidae","Nobecovirus","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"184","Rousettus amplexicaudatus","Pteropodidae","Nobecovirus","Asia","Philippines","Watanabe 2010 EID https://dx.doi.org/10.3201%2Feid1608.100208"
"185","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"186","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Huang 2016 PLoS Path https://dx.doi.org/10.1371%2Fjournal.ppat.1005883"
"187","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029"
"188","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Lau 2010 Journal of Virology https://doi.org/10.1128/JVI.01121-10"
"189","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15"
"190","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm"
"191","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Luo 2018 Virologica Sinica https://doi.org/10.1007/s12250-018-0017-2"
"192","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","Sri Lanka","Muzeniek 2021 Vaccines https://doi.org/10.3390/vaccines9060650"
"193","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Obameso 2017 Sci China Life Sci https://doi.org/10.1007/s11427-017-9263-6"
"194","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Woo 2007 J Virol https://doi.org/10.1128/JVI.02182-06"
"195","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"196","Rousettus leschenaultii","Pteropodidae","Merbecovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"197","Rousettus leschenaultii","Pteropodidae","Nobecovirus","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3"
"198","Rousettus madagascariensis","Pteropodidae","Nobecovirus","Africa","Madagascar","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7"
"199","Rhinolophus acuminatus","Rhinolophidae","Sarbecovirus","Asia","Thailand","Wacharapluesadee 2021 Nature Communications https://doi.org/10.1038/s41467-021-21240-1"
"200","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9"
"201","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9"
"202","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Guo 2021 bioRxiv https://doi.org/10.1101/2021.05.21.445091"
"203","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698"
"204","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"205","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"206","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","Cambodia, China, Laos, Malaysia","PREDICT database http://data.predict.global/"
"207","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","Cambodia, China, Laos, Malaysia","PREDICT database http://data.predict.global/"
"208","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"209","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"210","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"211","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"212","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"213","Rhinolophus affinis","Rhinolophidae","Rhinacovirus","Asia","China","Zhou 2018 Nature https://doi.org/10.1038/s41586-018-0010-9"
"214","Rhinolophus affinis","Rhinolophidae","Sarbecovirus","Asia","China","Zhou 2020 Nature https://www.nature.com/articles/s41586-020-2012-7?rel=outboundd"
"215","Rhinolophus blasii","Rhinolophidae","Sarbecovirus","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10"
"216","Rhinolophus blasii","Rhinolophidae","Rhinacovirus","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10"
"217","Rhinolophus cf. alcyone","Rhinolophidae","Rhinacovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"218","Rhinolophus cf. clivosus","Rhinolophidae","Sarbecovirus","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8"
"219","Rhinolophus cf. clivosus","Rhinolophidae","Duvinacovirus","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8"
"220","Rhinolophus cf. clivosus","Rhinolophidae","Sarbecovirus","Africa","Rwanda, Uganda","Wells 2021 Virus Evolution https://doi.org/10.1093/ve/veab007"
"221","Rhinolophus clivosus","Rhinolophidae","Duvinacovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"222","Rhinolophus clivosus","Rhinolophidae","Rhinacovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"223","Rhinolophus clivosus","Rhinolophidae","Sarbecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"224","Rhinolophus clivosus","Rhinolophidae","Sarbecovirus","Africa","Rwanda","Markotter 2019 TMID https://doi.org/10.3390/tropicalmed4030099"
"225","Rhinolophus clivosus","Rhinolophidae","Sarbecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"226","Rhinolophus clivosus","Rhinolophidae","Hibecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"227","Rhinolophus cornutus","Rhinolophidae","Sarbecovirus","Asia","China","Murakami 2020 Emerging Infectious Diseases https://doi.org/10.3201/eid2612.203386"
"228","Rhinolophus cornutus","Rhinolophidae","Sarbecovirus","Asia","Japan","Suzuki 2014 JVMS https://doi.org/10.1292/jvms.14-0012"
"229","Rhinolophus creaghi","Rhinolophidae","Sarbecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"230","Rhinolophus euryale","Rhinolophidae","Sarbecovirus","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10"
"231","Rhinolophus euryale","Rhinolophidae","Rhinacovirus","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10"
"232","Rhinolophus euryale","Rhinolophidae","Sarbecovirus","Europe","Hungary","Kemenesi 2014 VBZD https://doi.org/10.1089/vbz.2014.1637"
"233","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Russia","Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362"
"234","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"235","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","France","Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014"
"236","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Italy","Balboni 2011 Epidemiol Infect https://doi.org/10.1017/S0950268810001147"
"237","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Italy","Balboni 2012 The Scientific World Journal https://doi.org/10.1100/2012/989514"
"238","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10"
"239","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698"
"240","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Hu 2017 Sci Rep https://doi.org/10.1038/s41598-017-11384-w"
"241","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","South Korea","Kim 2016 TED https://doi.org/10.1111/tbed.12515"
"242","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15"
"243","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm"
"244","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Italy","Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8"
"245","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","South Korea","Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8"
"246","Rhinolophus ferrumequinum","Rhinolophidae","Merbecovirus","Asia","South Korea","Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324"
"247","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","South Korea","Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324"
"248","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019"
"249","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","South Korea","Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653"
"250","Rhinolophus ferrumequinum","Rhinolophidae","Merbecovirus","Asia","South Korea","Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653"
"251","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Luxembourg","Pauly 2017 AEM http://doi.org/10.1128/AEM.01326-17"
"252","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Europe","Italy","Rizzo 2017 BMC Veterinary Research https://doi.org/10.1186/s12917-017-1307-x"
"253","Rhinolophus ferrumequinum","Rhinolophidae","Nobecovirus","Asia","Lebanon","Shehata 2016 EID https://dx.doi.org/10.3201%2Feid2201.151397"
"254","Rhinolophus ferrumequinum","Rhinolophidae","Rhinacovirus","Asia","China","Tang 2006 J Virol https://doi.org/10.1128/JVI.00697-06"
"255","Rhinolophus ferrumequinum","Rhinolophidae","Merbecovirus","Asia","China","Tang 2006 J Virol https://doi.org/10.1128/JVI.00697-06"
"256","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Tang 2006 J Virol https://doi.org/10.1128/JVI.00697-06"
"257","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"258","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"259","Rhinolophus ferrumequinum","Rhinolophidae","Rhinacovirus","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"260","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"261","Rhinolophus ferrumequinum","Rhinolophidae","Sarbecovirus","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3"
"262","Rhinolophus hildebrandtii","Rhinolophidae","Sarbecovirus","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"263","Rhinolophus hipposideros","Rhinolophidae","Sarbecovirus","Europe","Russia","Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362"
"264","Rhinolophus hipposideros","Rhinolophidae","Sarbecovirus","Europe","UK","Crook 2021 Scientific Reports https://doi.org/10.1038/s41598-021-94011-z"
"265","Rhinolophus hipposideros","Rhinolophidae","Sarbecovirus","Europe","Italy","Lelli 2013 Viruses https://doi.org/10.3390/v5112679"
"266","Rhinolophus hipposideros","Rhinolophidae","Sarbecovirus","Europe","Slovenia","Rihtaric 2010 Archives of Virology https://doi.org/10.1007/s00705-010-0612-5"
"267","Rhinolophus lobatus","Rhinolophidae","Rhinacovirus","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7"
"268","Rhinolophus macrotis","Rhinolophidae","Rhinacovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"269","Rhinolophus macrotis","Rhinolophidae","Sarbecovirus","Asia","China","Li 2005 Science https://doi.org/10.1126/science.1118391"
"270","Rhinolophus macrotis","Rhinolophidae","Sarbecovirus","Asia","China","Tang 2006 J Virol https://doi.org/10.1128/JVI.00697-06"
"271","Rhinolophus macrotis","Rhinolophidae","Sarbecovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"272","Rhinolophus macrotis","Rhinolophidae","Rhinacovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"273","Rhinolophus malayanus","Rhinolophidae","Sarbecovirus","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"274","Rhinolophus malayanus","Rhinolophidae","Rhinacovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"275","Rhinolophus malayanus","Rhinolophidae","Sarbecovirus","Asia","China","Zhou 2020 Current Biology https://doi.org/10.1016/j.cub.2020.05.023"
"276","Rhinolophus malayanus","Rhinolophidae","Sarbecovirus","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008"
"277","Rhinolophus marshalli","Rhinolophidae","Sarbecovirus","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"278","Rhinolophus mehelyi","Rhinolophidae","Sarbecovirus","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10"
"279","Rhinolophus monoceros","Rhinolophidae","Sarbecovirus","Asia","Taiwan","Chen 2016 ZPH https://doi.org/10.1111/zph.12271"
"280","Rhinolophus monoceros","Rhinolophidae","Sarbecovirus","Asia","Taiwan","Chen 2018 Taiwan Veterinary Journal http://dx.doi.org/10.1142/S1682648518500063"
"281","Rhinolophus monoceros","Rhinolophidae","Sarbecovirus","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019"
"282","Rhinolophus pearsonii","Rhinolophidae","Sarbecovirus","Asia","China","Li 2005 Science https://doi.org/10.1126/science.1118391"
"283","Rhinolophus pearsonii","Rhinolophidae","Sarbecovirus","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019"
"284","Rhinolophus pearsonii","Rhinolophidae","Rhinacovirus","Asia","China","Tang 2006 J Virol https://doi.org/10.1128/JVI.00697-06"
"285","Rhinolophus pearsonii","Rhinolophidae","Rhinacovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"286","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Hu 2017 Sci Rep https://doi.org/10.1038/s41598-017-11384-w"
"287","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"288","Rhinolophus pusillus","Rhinolophidae","Rhinacovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"289","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Li 2021 bioRxiv https://doi.org/10.1101/2021.03.17.435823"
"290","Rhinolophus pusillus","Rhinolophidae","Rhinacovirus","Asia","Cambodia, China, Malaysia","PREDICT database http://data.predict.global/"
"291","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"292","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Wang 2017 Emerg Microb Infect https://doi.org/10.1038/emi.2016.140"
"293","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"294","Rhinolophus pusillus","Rhinolophidae","Rhinacovirus","Asia","China","Wang 2019 Viruses https://doi.org/10.3390/v11040379"
"295","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"296","Rhinolophus pusillus","Rhinolophidae","Rhinacovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"297","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"298","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Yang 2013 EID https://dx.doi.org/10.3201%2Feid1906.121648"
"299","Rhinolophus pusillus","Rhinolophidae","Rhinacovirus","Asia","China","Zhou 2018 Nature https://doi.org/10.1038/s41586-018-0010-9"
"300","Rhinolophus pusillus","Rhinolophidae","Sarbecovirus","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008"
"301","Rhinolophus rex","Rhinolophidae","Sarbecovirus","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019"
"302","Rhinolophus rex","Rhinolophidae","Rhinacovirus","Asia","China","Zhou 2018 Nature https://doi.org/10.1038/s41586-018-0010-9"
"303","Rhinolophus rhodesiae","Rhinolophidae","Rhinacovirus","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7"
"304","Rhinolophus rufus","Rhinolophidae","Nobecovirus","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"305","Rhinolophus shameli","Rhinolophidae","Sarbecovirus","Asia","Cambodia","Hul 2021 bioRxiv https://doi.org/10.1101/2021.01.26.428212"
"306","Rhinolophus shameli","Rhinolophidae","Rhinacovirus","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
