"","Bat.species","Bat.family","Continent","Country","Reference","Link"
"135","Miniopterus schreibersii","Miniopteridae","Oceania","Australia","Smith 2016 EcoHealth https://doi.org/10.1007/s10393-016-1116-x","https://doi.org/10.1007/s10393-016-1116-x"
"136","Miniopterus schreibersii","Miniopteridae","Asia","China","Tang 2006 J Virol https://doi.org/10.1128/JVI.00697-06","https://doi.org/10.1128/JVI.00697-06"
"137","Miniopterus schreibersii","Miniopteridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"138","Miniopterus schreibersii","Miniopteridae","Asia","China","Wu 2012 Journal of Virology  https://doi.org/10.1128/JVI.01394-12","https://doi.org/10.1128/JVI.01394-12"
"139","Miniopterus schreibersii","Miniopteridae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"140","Chaerephon plicatus","Molossidae","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1","https://doi.org/10.21203/rs.3.rs-871965/v1"
"141","Chaerephon plicatus","Molossidae","Asia","Myanmar","Valitutto 2020 PLoS ONE https://doi.org/10.1371/journal.pone.0230802","https://doi.org/10.1371/journal.pone.0230802"
"142","Chaerephon plicatus","Molossidae","Asia","Thailand","Wacharapluesadee 2013 EID https://dx.doi.org/10.3201%2Feid1908.130119","https://dx.doi.org/10.3201%2Feid1908.130119"
"143","Chaerephon plicatus","Molossidae","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138","https://doi.org/10.1038/ismej.2015.138"
"144","Chaerephon plicatus","Molossidae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"145","Chaerephon plicatus","Molossidae","Asia","China","Yang 2013 EID https://dx.doi.org/10.3201%2Feid1906.121648","https://dx.doi.org/10.3201%2Feid1906.121648"
"146","Chaerephon plicatus","Molossidae","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008","https://doi.org/10.1016/j.cell.2021.06.008"
"147","Chaerephon pumilus","Molossidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"148","Chaerephon pumilus","Molossidae","Africa","Mayotte","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"149","Chaerephon pumilus","Molossidae","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971","https://doi.org/10.1371/journal.pone.0236971"
"150","Chaerephon pumilus","Molossidae","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8","https://doi.org/10.1186/s42522-019-0008-8"
"151","Chaerephon pumilus","Molossidae","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8","https://doi.org/10.1007/s10393-019-01458-8"
"152","Chaerephon pumilus","Molossidae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"153","Chaerephon pumilus","Molossidae","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2","https://doi.org/10.1007/s12250-016-3930-2"
"154","Cynomops abrasus","Molossidae","America","Brazil","Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4","https://doi.org/10.1186/s12985-016-0569-4"
"155","Cynomops planirostris","Molossidae","America","Brazil","Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4","https://doi.org/10.1186/s12985-016-0569-4"
"156","Eumops glaucinus","Molossidae","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034","https://doi.org/10.1016/j.meegid.2016.07.034"
"157","Molossus currentium","Molossidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"158","Molossus molossus","Molossidae","America","Brazil","Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x","https://doi.org/10.1007/s00248-019-01391-x"
"159","Molossus molossus","Molossidae","America","Brazil, Mexico","Goes 2013 EID http://dx.doi.org/10.3201/eid1910.130525","http://dx.doi.org/10.3201/eid1910.130525"
"160","Molossus molossus","Molossidae","America","Brazil","Lima 2013 Virus Genes https://doi.org/10.1007/s11262-013-0899-x","https://doi.org/10.1007/s11262-013-0899-x"
"161","Molossus rufus","Molossidae","America","Brazil","Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x","https://doi.org/10.1007/s00248-019-01391-x"
"162","Molossus rufus","Molossidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"163","Molossus rufus","Molossidae","America","Brazil, Mexico","Goes 2013 EID http://dx.doi.org/10.3201/eid1910.130525","http://dx.doi.org/10.3201/eid1910.130525"
"164","Molossus rufus","Molossidae","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034","https://doi.org/10.1016/j.meegid.2016.07.034"
"165","Mops condylurus","Molossidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"166","Mops condylurus","Molossidae","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"167","Mops condylurus","Molossidae","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971","https://doi.org/10.1371/journal.pone.0236971"
"168","Mops condylurus","Molossidae","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8","https://doi.org/10.1186/s42522-019-0008-8"
"169","Mops condylurus","Molossidae","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874","https://doi.org/10.1101/2021.09.03.458874"
"170","Mops condylurus","Molossidae","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2","https://doi.org/10.1007/s12250-016-3930-2"
"171","Mops midas","Molossidae","Africa","South Africa","Geldenhuys 2013 VBZD https://doi.org/10.1089/vbz.2012.1101","https://doi.org/10.1089/vbz.2012.1101"
"172","Mops midas","Molossidae","Africa","Madagascar","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"173","Mops midas","Molossidae","Africa","Ethiopia","PREDICT database http://data.predict.global/","http://data.predict.global/"
"174","Mormopterus francoismoutoui","Molossidae","Africa","Reunion","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"175","Mormopterus jugularis","Molossidae","Africa","Madagascar","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"176","Nyctinomops laticaudatus","Molossidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"177","Nyctinomops laticaudatus","Molossidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"178","Otomops martiensseni","Molossidae","Africa","Rwanda","PREDICT database http://data.predict.global/","http://data.predict.global/"
"179","Otomops martiensseni","Molossidae","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16","https://doi.org/10.1128/JVI.01953-16"
"180","Otomops martiensseni","Molossidae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"181","Tadarida brasiliensis","Molossidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"182","Tadarida brasiliensis","Molossidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"183","Tadarida brasiliensis","Molossidae","America","Brazil","Cibulski 2021 Archives of Virology https://doi.org/10.1007/s00705-020-04825-x","https://doi.org/10.1007/s00705-020-04825-x"
"184","Tadarida brasiliensis","Molossidae","America","Brazil","Lima 2013 Virus Genes https://doi.org/10.1007/s11262-013-0899-x","https://doi.org/10.1007/s11262-013-0899-x"
"185","Tadarida teniotis","Molossidae","Europe","Spain","Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014","https://doi.org/10.1016/j.virol.2018.01.014"
"186","Tadarida teniotis","Molossidae","Europe","Italy","Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8","https://doi.org/10.1007/s11262-018-1614-8"
"187","Pteronotus davyi","Mormoopidae","America","Mexico","Goes 2013 EID http://dx.doi.org/10.3201/eid1910.130525","http://dx.doi.org/10.3201/eid1910.130525"
"188","Pteronotus parnellii","Mormoopidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"189","Pteronotus parnellii","Mormoopidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"190","Pteronotus parnellii","Mormoopidae","America","Costa Rica","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"191","Pteronotus personatus","Mormoopidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"192","Mystacina tuberculata","Mystacinidae","Oceania","New Zealand","Hall 2014 EID https://dx.doi.org/10.3201/eid2004.131441","https://dx.doi.org/10.3201/eid2004.131441"
"193","Nycteris cf. gambiensis","Nycteridae","Africa","Ghana","Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503","https://dx.doi.org/10.3201%2Feid1903.121503"
"194","Nycteris macrotis","Nycteridae","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855","http://dx.doi.org/10.3390/v12080855"
"195","Nycteris thebaica","Nycteridae","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"196","Nycteris tragata","Nycteridae","Asia","Malaysia","PREDICT database http://data.predict.global/","http://data.predict.global/"
"197","Anoura caudifer","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"198","Anoura geoffroyi","Phyllostomidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"199","Artibeus jamaicensis","Phyllostomidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"200","Artibeus jamaicensis","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"201","Artibeus jamaicensis","Phyllostomidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"202","Artibeus jamaicensis","Phyllostomidae","America","Costa Rica","Moreira-Soto 2015 ZPH https://doi.org/10.1111/zph.12181","https://doi.org/10.1111/zph.12181"
"203","Artibeus lituratus","Phyllostomidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"204","Artibeus lituratus","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"205","Artibeus lituratus","Phyllostomidae","America","Brazil","Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x","https://doi.org/10.1007/s00248-019-01391-x"
"206","Artibeus lituratus","Phyllostomidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"207","Artibeus lituratus","Phyllostomidae","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034","https://doi.org/10.1016/j.meegid.2016.07.034"
"208","Artibeus obscurus","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"209","Artibeus phaeotis","Phyllostomidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"210","Artibeus phaeotis","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"211","Artibeus planirostris","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"212","Carollia brevicauda","Phyllostomidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"213","Carollia castanea","Phyllostomidae","America","Costa Rica","Moreira-Soto 2015 ZPH https://doi.org/10.1111/zph.12181","https://doi.org/10.1111/zph.12181"
"214","Carollia perspicillata","Phyllostomidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"215","Carollia perspicillata","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"216","Carollia perspicillata","Phyllostomidae","America","Trinidad","Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642","https://dx.doi.org/10.3201%2Feid1412.080642"
"217","Carollia perspicillata","Phyllostomidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"218","Carollia perspicillata","Phyllostomidae","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034","https://doi.org/10.1016/j.meegid.2016.07.034"
"219","Carollia perspicillata","Phyllostomidae","America","Costa Rica","Moreira-Soto 2015 ZPH https://doi.org/10.1111/zph.12181","https://doi.org/10.1111/zph.12181"
"220","Carollia sowelli","Phyllostomidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"221","Carollia sowelli","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"222","Desmodus rotundus","Phyllostomidae","America","Brazil","Alves 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14150","https://doi.org/10.1111/tbed.14150"
"223","Desmodus rotundus","Phyllostomidae","America","Brazil","Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4","https://doi.org/10.1186/s12985-016-0569-4"
"224","Desmodus rotundus","Phyllostomidae","America","Peru","Bergner 2019 Mol Ecol https://doi.org/10.1111/mec.15250","https://doi.org/10.1111/mec.15250"
"225","Desmodus rotundus","Phyllostomidae","America","Peru","Bergner 2020 Microbiology Resource Announcements https://doi.org/10.1128/MRA.00742-200","https://doi.org/10.1128/MRA.00742-200"
"226","Desmodus rotundus","Phyllostomidae","America","Brazil","Brandao 2008 BJID https://doi.org/10.1590/S1413-86702008000600003","https://doi.org/10.1590/S1413-86702008000600003"
"227","Glossophaga soricina","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"228","Glossophaga soricina","Phyllostomidae","America","Brazil","Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4","https://doi.org/10.1186/s12985-016-0569-4"
"229","Glossophaga soricina","Phyllostomidae","America","Brazil","Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x","https://doi.org/10.1007/s00248-019-01391-x"
"230","Glossophaga soricina","Phyllostomidae","America","Trinidad","Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642","https://dx.doi.org/10.3201%2Feid1412.080642"
"231","Glossophaga soricina","Phyllostomidae","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034","https://doi.org/10.1016/j.meegid.2016.07.034"
"232","Glossophaga soricina","Phyllostomidae","America","Costa Rica","Moreira-Soto 2015 ZPH https://doi.org/10.1111/zph.12181","https://doi.org/10.1111/zph.12181"
"233","Lichonycteris obscura","Phyllostomidae","America","Brazil","PREDICT database http://data.predict.global/","http://data.predict.global/"
"234","Lonchorhina aurita","Phyllostomidae","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0","https://doi.org/10.1099/vir.0.049759-0"
"235","Lonchorhina aurita","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"236","Mesophylla macconnelli","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"237","Phyllostomus discolor","Phyllostomidae","America","Brazil","Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x","https://doi.org/10.1007/s00248-019-01391-x"
"238","Phyllostomus discolor","Phyllostomidae","America","Brazil, Costa Rica, Panama","Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0","https://doi.org/10.1099/vir.0.054841-0"
"239","Sturnira erythromos","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"240","Sturnira lilium","Phyllostomidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"241","Sturnira lilium","Phyllostomidae","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034","https://doi.org/10.1016/j.meegid.2016.07.034"
"242","Acerodon celebensis","Pteropodidae","Asia","Indonesia","PREDICT database http://data.predict.global/","http://data.predict.global/"
"243","Cynopterus brachyotis","Pteropodidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"244","Cynopterus brachyotis","Pteropodidae","Asia","Indonesia","Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70","https://doi.org/10.4142/jvs.2021.22.e70"
"245","Cynopterus brachyotis","Pteropodidae","Asia","Singapore","Lim 2019 J Gen Virol https://doi.org/10.1099/jgv.0.001307","https://doi.org/10.1099/jgv.0.001307"
"246","Cynopterus brachyotis","Pteropodidae","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z","https://doi.org/10.1007/s00705-012-1410-z"
"247","Cynopterus brachyotis","Pteropodidae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"248","Cynopterus brachyotis","Pteropodidae","Asia","Philippines","Watanabe 2010 EID https://dx.doi.org/10.3201%2Feid1608.100208","https://dx.doi.org/10.3201%2Feid1608.100208"
"249","Cynopterus horsfieldii","Pteropodidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"250","Cynopterus sphinx","Pteropodidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"251","Cynopterus sphinx","Pteropodidae","Asia","China","Han 2019 Frontiers in Microbiology https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full","https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full"
"252","Cynopterus sphinx","Pteropodidae","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029","https://doi.org/10.1016/j.meegid.2016.11.029"
"253","Cynopterus sphinx","Pteropodidae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"254","Cynopterus sphinx","Pteropodidae","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1","https://doi.org/10.21203/rs.3.rs-871965/v1"
"255","Cynopterus sphinx","Pteropodidae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"256","Cynopterus sphinx","Pteropodidae","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3","https://doi.org/10.1007/s12250-016-3727-3"
"257","Dobsonia moluccensis","Pteropodidae","Asia","Indonesia","Anindita 2015 Archiv Virol https://doi.org/10.1007/s00705-015-2342-1","https://doi.org/10.1007/s00705-015-2342-1"
"258","Dyacopterus spadiceus","Pteropodidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"259","Eidolon dupreanum","Pteropodidae","Africa","Madagascar","Razanajatovo 2015 Virology J https://doi.org/10.1186/s12985-015-0271-y","https://doi.org/10.1186/s12985-015-0271-y"
